,text
10,"We are seeking an entry level Business Analyst to join a growing dynamic team. This is a great opportunity for an individual that has graduated to learn and grow with our company. In Entry Level Business Analyst position, the individual will be responsible for providing timely administrative support and general secretarial / clerical support directly to the company team.

Responsibilities:

Analyse regulatory and business requirements, specifically for prospective payment software solutions
Write technical software specifications
Work with software developers to implement changes from the specifications in software
Test developmental software to ensure that specified changes were correctly implemented
Design and implement quality assurance procedures for the software product line
Provide product and/or regulatory training to clients and business partners
Troubleshoot and respond to regulatory and product inquiries from clients and business partners
Write press releases regarding product updates

Qualifications:

Bachelors or Master’s Degree
Strong Communication & Technical skills
Responsible, dependable, quick learner
Demonstrated ability to adapt to new technology

"
11,"$48,000 - $58,000 a yearJunior Business AnalystAbout UsOur team is comprised of individuals who are eager to tackle new challenges, learn and implement new technologies, find creative solutions to projects on the fly, and who share our commitment to surpass our clients’ expectations. We maintain a diverse client base of government agencies, non-profit organizations, and private sector clients, so the content and timing of our projects remains dynamic. NCC offers a comprehensive and competitive benefits package.Project SummaryNCC is seeking a Junior Business Analyst to provide project support for the Associate Director for Networking, DREN Team Leads, and the Networking Team.This is a full-time, exempt position under the Fair Labor Standards Acts (FLSA).Required ClearanceMust have Top Secret or Secret level ClearanceResponsibilitiesProvide strategic planning and logistical support for a variety of meetingsCreate, edit, and finalize briefings, documents, articles, and success stories for senior managementConsolidate and analyze large sets of data using Excel and similar toolsReport and present project development using PowerPoint and similar toolsDevelop new business SOPs and technical documentsRequired QualificationsTwo (2) or more years of business analysis experienceProficiency with Microsoft Office Suite, especially Excel and PowerPointExperience writing SOPs and editing technical documentsExperience creating PowerPoint presentations that include text, graphics, and tablesExcellent written and verbal communication skillsExcellent teamwork and interpersonal skillsPreferred QualificationsPrior experience working for/with a Federal government clientEducation and CertificationsBachelor’s Degree in a relevant fieldCore ValuesInnovative, Adaptable and Always LearningPut the Customer FirstWork Together for the Greater GoodGo BeyondOwn It and Get It DoneDo the Right ThingHave FunNCC is an Equal Opportunity Employer (Minority/Female/Disabled/Veteran)Job Type: Full-timeSalary: $48,000.00 to $58,000.00 /yearExperience:Business Analysis: 2 years (Preferred)Education:Bachelor's (Required)Work authorization:United States (Required)"
12,"Job Description:

Position Summary
The candidate should have at least 10 years of experience in Business analysis, implementation and successful delivery of complex systems.
Strong analytical and problem solving skills.
 Excellent written/verbal communication skills
Required SkillsThe candidate should have at least 10 years of experience in Business analysis, implementation and successful delivery of complex systems.
Work with the Product, Dev and QA team to understand and analyze estimation/budget.
Experienced in producing detailed user stories and acceptance criterias – both functional, UI and nonfunctional. Should have ability to work closely with technical team to create mockups where required and ensure design was in line with business need.
Should be able to assist the development teams by clarifying requirements, resolving functional and test data queries.
Experience working with testing teams for test plans, test cases and execution of automation test cases in SIT, Integration and UAT environments. Should be able to lead testing team to test UI and biz functionalities. Develop and maintain testing standards and procedures for broader testing team to ensure cross dependency issues are analyzed.
Work closely with the Product Owners in documenting stories and helping them prioritize for a seamless product delivery. Detailed documentation of user guide and maintaining to keep the guide in sync with the product development. Actively drive the demo and user signoff as part of sprint completion.
Partner with Scrum team and Scrum Masters to build and own product roadmap for project.
Extensive experience in designing software products and creating Product Backlog, Sprint Backlog and managing User stories.
Work with dev and qa team on production issues and help prioritize them with tactical and strategic fixes.
Very good experience of agile and SCRUM methodology. Certification preferred.
Team player who is capable of working independently with minimal direction
Strong analytical and problem solving skills
Excellent written/verbal communication skills
Shift:
1st shift (United States of America)

Hours Per Week:
40"
13,"$50 an hourContractJob SummaryJob Description: The Senior Business Analyst will act as a consultant to:Elicit and document business needs by using a combination of document artifacts and verbal and diagrammatic input from business subject matter experts. These business experts may be unfamiliar with BPMN.Assess the current state of a business process and identify attributes that can be improvedIdentify and document use cases or usage scenariosIdentify process and information dependencies and conduct impact analysisAdvise IT and business stakeholders on pros and cons for different solutionsGain consensus between stakeholders for new processesProduce BPMN process flow diagrams using MS VisioProduce business requirement and user story documentation using MS Word and ExcelRequired Experience, Skills and QualificationsExperience gathering and documenting business requirementsRequired10Experience in writing detailed Business Requirements and Functional Design documentationRequired5Experience working directly with senior stakeholders to determine improved business solutionsRequired5Experience working with cross functional teamsRequired5Experience creating process flow diagramsRequired5Experience using Visio to create BPMN diagramsRequired2Experience of Election Systems ExperienceDesired2Experience serving as the Lead Business Analyst on combined team of analysts and developersDesiredStrong understanding of the CRM Platform and its functional modulesDesiredDelivering and leading end user training sessionsDesiredKnowledge of Agile methodologies (SCRUM)DesiredJob Type: ContractSalary: $50.00 /hour"
14,"Overview
The primary responsibility of this position is to represent the business users and thoroughly test new system enhancements, document issues, and validate issue resolution. This position reviews, analyzes, and evaluates business systems and user needs. The position will also provide input into new business requirements for new improvements.
Responsibilities
Testing of new features and fixes related to systems supporting authorization processing and utilization management.Thinks through test scenarios, develops appropriate use cases/test plans, and helps prepare test data.Represents the user community, contributes ideas for system improvements and assists with requirements.Coordinates closely with the Quality Assurance team.Supports management in the resolution of production issues.Identifies and manages issues that may impact project quality and timeliness.Provides support to end users as needed.This position requires the ability to create test plans and analyze test scenarios.Requires the ability to make or recommend business decisions based on data analysis.Must be able to interact with all levels and facilitate group discussions to promote consensus.Must perform other duties as required or assigned.
Qualifications
Bachelor’s Degree preferred. A combination of education and significant experience may be substituted for degree requirement.At least two years of experience in a medical authorization processing environment.At least two years of previous User Acceptance Testing or Quality Assurance testing experience preferred.Thorough knowledge of Home Health and Managed Care industry.Excellent process development and problem resolution skills.Detail oriented, logical thinker, strong organizational skills, ability to prioritize and manage multiple priorities.Analytical and problem-solving skills along with strong written and oral communication & presentation skills.Must be proficient with CareCentrix systems (i.e. Portal, Queue Manager, Intake 98, eligibility) and the MS Office Suite.

CareCentrix maintains a drug-free workplace in accordance with Florida’s Drug Free Workplace Law."
15,"National Hospitality Group strives for the best!Our mission is to deliver perfect vacations to our members and guests. National Hospitality Group is a vacation ownership company that provides today’s traveler with a fresh perspective through our commitment, excellent customer service and endless opportunities. National Hospitality Group develops vacation ownership resorts, markets and sells vacation ownership interests, and provides a full range of management services for resort owners associations. Individual will assist with implementing our Unified Strategy for Reporting and AnalyticsEvaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up-to-date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing requirements analysis.Documenting and communicating the results of your efforts.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Working closely with clients, technicians, and managerial staff.Providing leadership, training, coaching, and guidance to junior staff.Allocating resources and maintaining cost efficiency.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Managing projects, developing project plans, and monitoring performance.Updating, implementing and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.Managing competing resources and priorities.Monitoring deliverables and ensuring timely completion of projects.All other duties as required by management.RequirementsHigh School Diploma/GEDBachelor's Degree/MBA in business or related fieldMinimum 5 years' experience in business analysis or related fieldExperience in the Time Share Industry preferredExceptional analytical and conceptual thinking skillsAbility to influence stakeholders and work closely with them to determine acceptable solutionsAdvanced technical skillsExcellent documentation skillsExperience creating detailed reports and giving presentationsCompetency in Microsoft applications including Word, Excel, and OutlookA track record of following through on commitmentsExcellent planning, organizational, and time management skillsExperience leading and developing top performing teamsA history of leading and supporting successful projectsNational Hospitality Group offers employees with competitive compensation and benefits programs, which include but are not limited to; medical, dental, vision, life insurance, disability, 401K, discounted condo stays, paid time off and paid Holidays.We invite you to explore this extraordinary opportunity to join our TEAM!National Hospitality Group LLC is an Equal Opportunity Employer Job Type: Full-timeExperience:business analysis: 5 years (Required)Education:Bachelor's (Required)Work authorization:United States (Required)"
16,"Business Analyst

Summary – Responsibilities include assisting the Project Manager with implementing a new or upgrading an existing client on proprietary software applications. This would include assisting in defining requirements, creating and implementing test plans, working with vendors and training end users on software usage.

Essential Duties and responsibilities include the following. Other duties may be assigned.

Document procedures. Build a rapport with internal and external customers to elicit their business concern and collaborate in a workable solution.

Provides analysis, definition, and direction to computer applications related development and maintenance activities.

Ensures correct business functionality, requirements, and industry standards are addressed within the computer application.

Develops detailed business user requirements, system documentation, workflow procedures and data test plans.

This position will perform the following:

Review Technical Documents
Collect, develop, analyze, and edit Business Process Diagrams.
Interview Business Users & Subject Matter Experts.
Capture Functional Requirements and develop Use Cases.
Data analysis, mapping, verification and testing.
Report comparison and compilation.
Quality Assurance

Education and Experience The ideal candidate profile would include 1-2 years of general information technology experience and a desire to learn. Strong client interaction skills are a must. In addition to competitive compensation and benefits this firm offers a challenging and rewarding work environment with realistic opportunities for career growth."
17,"Description:

* MUST BE Bilingual fluency in English and Spanish *

Job Qualifications:
High School Diploma/GEDBilingual fluency in English and Spanish.Ability to interpret in English and Spanish.Ability to create, copy, edit, save & send using Microsoft Word, Excel & Outlook.Must be able to type and talk at the same time and navigate through multiple screens.Must be able to work a designated shift between 7 am and 8 pm, and must be able to flex shifts to meet the needs of the business.

Functional Description:
Positions in this function provide sales support and administrative services to non-employee sales producers such as broker agents, field marketing organizations, and independent contract agents. Ensures proper completion of contracts, marketing agreements, and documentation of sales targets. May administer programs and monitoring to ensure compliance with external agent credentialing and training requirements. Acts as internal liaison and customer service resource for external producers relative to enrollment and policy questions, systems issues, and coordination of materials fulfillment. As one aspect of broader support role, may manage administrative aspects of commission payments such as routine tracking, reporting, and troubleshooting issues relative to missing or disputed payments.

General Profile:
Works independently.May act as a resource for others.May coordinate others' activities.

Job Scope and Leveling Guidelines:
Applies knowledge/skills to a range of moderately complex activities.Demonstrates great depth of knowledge/skills in own function.Sometimes acts as a technical resource to others in own function.Proactively identifies solutions to non-standard requests.Solves moderately complex problems on own.Works with team to solve complex problems.Plans, prioritizes, organizes and completes work to meet established objectives.May coordinate work of other team members.

Shift Start/End Time: Variable 7:00 a.m. - 8:00 p.m. CST

Dress Code: Business Casual
Benefits
At Maxim Healthcare Services, we firmly believe that our employees are the heartbeat of our organization and we are happy to offer the following benefits:
Competitive pay & weekly paychecks
Health, dental, vision, and life insurance
401(k) savings plan
Awards and recognition programs
Benefit eligibility is dependent on employment status.
Maxim Healthcare Services is a leading provider of home healthcare, medical-related staffing, travel nursing, and population health and wellness services across the United States. As an established community partner, we have been making a difference in the lives of our employees, caregivers, and patients for more than 30 years. Our commitment to customer service, improving patient care, and staffing experienced healthcare professionals has paved the way for many rewarding career opportunities in the healthcare industry.
Maxim Healthcare Services, Inc. is an Affirmative Action/Equal Opportunity Employer"
18,"$65,000 - $97,000 a year (Indeed Est.) Position summary: The BSA’s primary objective is to ensure proper functioning of business systems on a day to day basis.The second objective is to make recommendations for optimizing productivity.This includes resolution of system problems, project management of new system implementations, and management of software upgrades of current systems. The BSA is expected to build system skills and capabilities within the departments. The BSA is the primary liaison between the end users and the MIS department and/or external system vendors.Minimum qualifications: BA/BS in MIS, Computer Science & Engineering preferred or the equivalent combination of education and progressively responsible work experience.3-5 years of experience in a Technical Business Analyst role.Exposure to ERP, CRM and financial systemsAbility to resolve virtually all support issues, plan system implementations and upgrades independently.Skilled SQL programmerExperience writing code for data modification in a wide range of approaches that include stored procedures, SSIS, database functions and custom ad hoc queries/scripts.Practiced troubleshooting in a web programming environment (HTML, AngularJS, .NET)Experience with Microsoft Dynamics 365 a plusPosition responsibilities: Manage new systems implementations and system upgradesCreate and maintain system set up, design and architecture documentation. Ensure end user documentation is appropriately documented. Ensure users are adequately trained.Adhere to the FAD system change process. Triage system problems/issues, log issues in Jira. Create SCRs for issues logged in Jira.Participate in MIS led meetings with BSAs from other functional areas to ensure system change requests, new system implementations and upgrades are coordinated across all of FAD.Direct and assist developers with designing, developing, documenting and testing custom, object oriented .NET base applications as needed.Identify, document and repair data related quality issues and patterns in a timely and thorough manner.Benefits: Competitive salary, based on experienceMedical, dental, and vision coverageCompany 401(k) plan with employer matchPaid Parent-New Child Bonding LeaveSummer FridaysDiscounted gym membershipFor more information and a full job description, please visit www.fadavis.com/careers.Job Type: Full-time"
19,"Deloitte Services LP includes internal support areas such as Marketing and Communications, Human Resources/Talent, Information Technology, Facilities Management, and Financial Support Services.

Business Solution Analyst - WPS
Location: Hermitage/Nashville, TN
Are you passionate about technology and interested in joining a community of collaborative colleagues who respectfully and courageously seek to challenge the status quo? If so, read on to learn more about an exciting opportunity with Deloitte’s Information Technology Services (ITS). We are insatiably curious and life-long learners focused on technology and innovation.

Work you’ll do
Maintains a solid knowledge base of the functional capabilities of and is a Subject Matter Expert in Market Development and the various areas and products within it.
Assists the Engagement Manager in leading, directing, and reviewing all activities associated with support of existing products and delivering new technology products. Responsible for product quality, project timeliness, and customer satisfaction.
Interfaces with clients to define and document requirements for a named set of custom developed or vendor software products. Creates documentation including requirements, user stories, acceptance criteria, feature description PowerPoint decks, user guides, process flows, wireframes, and newsletters.
Manages the product backlog for product, working with the Engagement Manager to prioritize requirements, define and manage scope and sprints for a project.
Possesses overall understanding of appropriate business processes and workflows.
Engages business owners and other ITS resources to respond to requests for new applications and/or enhancements. Collaborates with the Engagement Manager in creating and presenting the appropriate project on-boarding processes and materials (Charter).
Responsible for conducting Design Thinking sessions to gain insights into end user and customer needs.
Leads and is responsible all Testing and QA activities within the project lifecycle. Works with and manages USI QA resources to develop and execute Test Plans, Test Scripts and all other deliverables and activities related to Quality Assurance of the Products.
Provides feedback to USI QA resources
Works with the Engagement Manager and clients to plan and execute User Acceptance Testing.
Provides operational support to practitioners and firm clients. Engages with various ITS organizations to resolve problems as they arise.
Participates in reviews of plans associated with project execution.
Responds proactively to both business and project issues and escalates appropriately.
Assists Engagement Manager with status reporting as required by the Market Development Channel and Deloitte Applications Studio leadership.
The team
Information Technology Services (ITS) helps power Deloitte’s success. ITS is the engine that drives Deloitte, which serves many of the world’s largest, most respected organizations. We develop and deploy cutting-edge internal and go-to-market solutions that help Deloitte operate effectively and lead in the market. Our reputation is built on a tradition of delivering with excellence.

The ~2,200 professionals in ITS deliver services including:
Security, risk & compliance
Technology support
Infrastructure
Applications
Relationship management
Strategy
Deployment
PMO
Financials
Communications
Deloitte Application Studios (DAS)
Deloitte Application Studios (DAS) is the internal software and applications development team responsible for delivering leading-edge technologies to Deloitte professionals. Their broad portfolio includes web and mobile productivity tools which empower our people to log expenses, enter timesheets, book travel and more, anywhere, anytime. DAS enables our client service professionals through a comprehensive suite of applications across the business lines. In addition to application delivery, DAS offers full-scale design services, a robust mobile portfolio, cutting-edge analytics, and innovative custom development.

Qualifications

Required Qualifications:
5+ years of experience working in supporting multiple software projects in various IT roles.
3+ years of Business Analyst or System Analysis experience.
2+ years of Quality Assurance experience.
A solid knowledge and understanding of functionality within Deloitte applications preferred.
Must have in-depth knowledge of software development lifecycles including Agile development and testing.
Experience with test plan creation, automated test scripting, and load/stress testing.
Familiarity with SharePoint, TFS/Team Foundational Server, Test Director, MS Project, HP Quality Center, Automated QA tools is a plus
Prior experience that demonstrates good business understanding is needed (experience in a professional services organization is a plus
Demonstrated ability in applying repeatable quality assurance processes and methods to enterprise wide technology projects or initiatives.
Excellent written and verbal communications, organization, analytical, planning and leadership skills.
Strong management, communication, technical and remote collaboration skill are a must.
Experience in dealing with multiple projects and cross-functional teams, and ability to coordinate across teams in a large matrix organization environment.
Ability to effectively conduct technical discussions directly with Project/Product management, and clients.
Excellent team collaboration skills.
Strong relationship building and maintaining skills. Fosters a climate conducive to establishing positive working relationships with clients (internal and external).
Preferred Qualifications:
Certified Business Analysis Professional (CBAP) or Certification of Competency in Business Analysis (CCBA) is a plus.
Familiarity with SharePoint, MS Project, HP Quality Center, TFS/Urban Turtle, Automated QA and wire-framing or visualization tools is a plus.
Experience working with Agile development processes.
Experience in packaged software development
Experience in programming is a plus.
Experience with implementation of Mobile Web Content vs. Native Development.
Ability to distill complexity to what users need in a mobile experience and 3rd Party vendor products
Education:
Bachelor's degree in Computer Science, Business Administration or equivalent educational or professional experience and/or qualifications.
Travel Requirements:
Limited travel might be required.

How you’ll grow
At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

Benefits
At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.

Deloitte’s culture
Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.

Corporate citizenship
Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.

Recruiter tips
We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.

#IND:PTY


As used in this posting, “Deloitte” means Deloitte Services LP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries.
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law."
