,location,text
11,"Smithfield, NC 27577","Data Analysis Specialist


District Name
Johnston County Public Schools
Site/Department Name
Curr, Inst, Accountability
501 South Second Street, Smithfield, North Carolina, 27577
Posted on
Oct 01, 2018,12:01 AM EST
Expiration Date
Until Filled
Job Description
CIA Employee-Licensed (See attached for more information.)"
12,"Jersey City, NJ",ContractpythonRShell scripting*Job Type: Contract
13,"Greensboro, NC","Overview
Position: Data Scientist

6 months duration to start… In Greensboro, NC

Onsite

Skills needed:
MS in Statistics or Analytics very strongly desired.
Skilled in data mining and/or linear and logarithmic regression / modeling.
Skilled in programming in R, SAS or Python.
Data manipulation/prep skills required.
Knowledge / skilled in clustering and segmentation methods and tools.
Experience with data visualization tools a plus.
Knowledge of time series / forecasting a plus."
14,"Dallas, TX","Req ID: 30197

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Data Scientist to join our team in Dallas, Texas (US-TX), United States (US).

Big data scientist should be expert in R language, and optionally in in different programming languages such as Scala and SQL. In addition, the need to be familiar with disciplines such as:
Machine learning
Conceptual modelling: to be able to share and articulate modelling;
Statistical analysis: to understand and work around possible limitations in models;
Predictive modelling
Hypothesis testing: being able to develop hypothesis and test them with careful experiments.

Forecasting algorithms:
Hierarchical time series models: top-down, bottom-up
ARIMA
Exponential smoothing
Neural Networks Auto regression
Bayesian additive regression model
Pricing algorithms
Gradient Boosting Machines (GBM)
Random Forest
Elastic Net
Neural Networks
Support vector machines
Optimization algorithms
Linear Programming (LP)
Interior point methods
Statistical estimation
Genetic algorithms
Skills –Linux intermediate, Exposure to Hadoop HDFS and eco- system. They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed. They need to be thinkers who can ask the right (business) questions.
They need to be able to link and mash up distinctive data sets to discover new insights. Work with potentially incomplete data sources and cleaning data sets to be able to use them.

Day-to-day technical Challenges –
Being able to work in a fast-paced multidisciplinary environment as in a competitive landscape new data keeps flowing in rapidly and the world is constantly changing;
Having the ability to query databases and perform statistical analysis;
Being able to develop or program databases;
Being able to work independently and guide other Junior Data Scientists.

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result."
15,"Seattle, WA","We are looking for engineers with a passion for using machine learning to build intelligent applications. In this highly accomplished, deeply technical and close-knit team of data scientists and machine learning engineers, you will create tools that are used by millions of people. You will design and implement new machine learning algorithms and techniques and collaborate with the most innovative product development teams in the world.
We research new machine learning algorithms, models and techniques that will power amazingly intelligent user experiences. We are looking for new ambitious members to join our research ML group. In this role, you will design new models and algorithms, and actively engage with the academic community by publishing your work and participating in academic efforts. You will also have the opportunity to supply to every cool project around Apple, and use your data science, machine learning and artificial intelligence skills to transfer your ideas into solutions for some of the most challenging technical problems in the next generation of products that will delight millions of people.
Key Qualifications
STRONG ACADEMIC AND PUBLICATION RECORD
Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence
A passion for creating innovative techniques and making these methods robust and scalable
ABILITY TO EXPLAIN AND PRESENT DEEP TECHNICAL IDEAS
Creative, reciprocal, & innovation focused
Description
As a member of the ML Research team, you will design and evaluate new algorithms, models and methods that will affect Apple and the broad ML community. You will also collaborate with teams across Apple, who are building the newest, most compelling intelligent applications in the world. You will also be a trusted advisor for standard methodology machine learning development.
- Your responsibilities include:
- Researching, developing and implementing the most innovative machine learning, artificial intelligence, computer vision and NLP techniques
- Publishing papers, software and building presentations
- Transferring machine learning solutions to data scientists and engineers on product teams
- Providing technical mentorship to product teams on the choice of machine learning approaches appropriate for a task
- Providing architectural mentorship on transitioning prototypes to high-performance production models
- Providing feedback on tools and new features needed back to platform development teams
Education
- PhD in Machine learning, Statistics, Computer Science, Physics, or related field or
- MS in related field with a strong academic track record
- 3+ years of research experience in academia or industry"
16,"Chicago, IL 60606 (Loop area)","Given substantial growth and impact at Crowe, the machine learning team has formed into an official unit, Advanced Data Science (ADS), which is responsible for all machine learning and artificial intelligence throughout the firm. This team works on a wide variety of projects utilizing numerous areas of machine learning, including: supervised regression/classification, unsupervised learning, anomaly detection, NLP, reinforcement learning, deep learning, forecasting, etc.

Leverage large sets of structured and unstructured data to develop tactical and strategic insights. Collaborate with analytic and data teams to set objectives, approaches, and work plans. Research and evaluate new analytical methodologies, approaches, and solutions. Develop and validate statistical forecasting models and tools. Interpret and communicate analytic results to analytical and non-analytical business partners and executive decision makers."
17,"Detroit, MI","$83,000 - $123,000 a year (Indeed Est.) Who We Are
We’re America’s largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans “Highest in Customer Satisfaction in Primary Mortgage Origination” for the past eight consecutive years, 2010 – 2017. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. There’s a simple reason we’ve been so successful: We care about the people we work with.

If you’re tired of stuffy, bureaucratic workplaces, then you’ll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won’t find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine’s first ever list of “Best Places to Work for African Americans” in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazine’s list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.
What You'll Do/Need
The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Master’s degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
What’ll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What You'll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more

Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, we’re in the business of putting roofs over our clients’ heads, but we certainly aren’t putting ceilings on our team members’ careers. If you’re interested in working in a place with a philosophy that’s truly different, apply today.

Quicken Loans is an equal opportunity employer.

Disclaimer: Quicken Loans received the highest numerical score in the proprietary J.D. Power 2010 – 2016 Primary Mortgage Origination studies and the 2014 – 2017 Primary Mortgage Servicer studies. 2016 Origination (or Sales) based on 5,182 total responses and measures the opinions of customers who originated a new mortgage or refinanced within the past 12 months, surveyed in July – August 2016. 2017 Servicing based on 7,374 total responses and measures the opinions of homeowners on their mortgage servicing company, surveyed in March – April 2017. Your experiences may vary. Visit JDPower.com.


Quicken Loans is the #1 online lender based on the ranking of Quicken Loans in comparison to online residential mortgage lenders included in the Inside Mortgage Finance ""Top 50 Mortgage Lenders"" report from Q2 2017."
18,"Sunrise, FL","$45,000 - $50,000 a yearPLEASE SUBMIT A COVER LETTER WITH THE APPLICATION. WE NEED TO KNOW WHY YOU FEEL YOU ARE A FIT FOR THIS ROLE.Do you have a Computer or Data Science degree? Please do not apply for this position if you answer No to this question.How much programming experience do you have and which programming languages do you consider to be your strengths?At Accelirate, we are helping enterprises to build intelligent Robotic Process Automation (RPA) solutions using Data Science and Machine Learning capabilities.The Machine Learning team at Accelirate, Inc. is responsible for all aspects of the company’s core Machine Learning and Data Science applications that help automation experts to fuse intelligence into the process automation. Our Machine Learning team is seeking an innovative, results-oriented data enthusiast to support, enhance, and expand our Machine Learning operations.Core ResponsibilitiesThe successful candidate will perform groundbreaking work in Natural Language Processing, Computer Vision and Machine Learning projects. Projects may involve applying object localization, semantic segmentation on high volume image datasets. The projects also require the application of information retrieval using Named Entity Recognition(NER) and bi-directional LSTM’s.Preferred CriteriaMasters in Computer science, Mathematics, or other Data Science related field.Experience or strong knowledge in the development of Deep Neural Network models using transfer learning and domain adaption.Expertise in NLP methods such as LSA, LDA, Semantic Hashing, Word2Vec, LSTM, etc.Good understanding of Computer Vision algorithms and applications.Strong understanding of DNN architectures like Tesnorflow, keras, and PyTorch.Python experience and related ML packages (Scikit-learn, Numpy, NLTK, OpenCV).Proficiency in data analytics and engineering, able to clean, transform, and merge data for ML purposes.Present and explain complex models to non-technical stakeholders and C- level executivesJob Type: Full-timeSalary: $45,000.00 to $50,000.00 /yearExperience:Machine Learning or RPA: 1 year (Preferred)Education:Bachelor's (Preferred)Location:Sunrise, FL (Required)Work authorization:United States (Required)"
19,"Menlo Park, CA","Astound AI is a rapidly growing startup funded by top-tier venture capitalists. We are disrupting the way customer support is delivered. Are you interested in joining a startup where you can play a crucial role in designing and building new generation AI products vs. being a cog in the wheel in big groups at big companies? Do you have what it takes to solve challenging AI problems and build cutting edge AI products? Would you like to be a part of an elite team of AI pioneers in Silicon Valley building one of the most advanced AI systems for automating enterprise business processes?We have an opportunity for a Machine Learning Scientist to play a key role in developing a high-profile AI platform in use by many of the world’s most-respected organizations. If your expertise is in machine learning or deep learning for natural language processing and you are passionate about solving hard problems, join us for the adventure of a lifetime.Required Skills: MS or Ph.D. or equivalent experience in a quantitative fieldStrong background in the foundations of machine learningWell read in the relevant literature around applications of machine learning or deep learningImpressive projects in machine learning or deep learning or high performance computingPassion for challenging the status quo and translating novel ideas into scalable systemsWhy you should apply: AI for automating enterprise business processes is a huge opportunity. You’ll have an opportunity to be a pioneer in a field that will define how machines and humans interact for the next decade or more.Unique opportunity to join a venture-funded AI startup founded by seasoned serial entrepreneurs which is still in early stages.You will be tackling some of the most exciting problems at the cutting edge of AI and Machine Learning.You will be surrounded by passionate entrepreneurs who have lots of experience in solving real world AI problems! We’re a small, tight-knit team doing big things.We value innate intelligence, the curiosity to learn more, and the ability to solve hard problems. We reward innovation, creativity, initiative and teamwork.We process immigration for qualified candidates. We are located in Menlo Park, California. Join us to define the new boundaries of AI and have plenty of fun along the way.Job Type: Full-time"
20,"Seattle, WA","Who we are:

Rover.com connects pet parents with the nation’s largest network of pet sitters and dog walkers. On Rover, pet parents can easily discover, book, and manage personalized care for their dogs including pet sitting, dog walking, and doggy day care. Founded in 2011 on the belief that everyone should have the opportunity to experience the unconditional love of a dog, Rover improves and simplifies life for pet parents and the dogs they love.

We're headquartered in downtown Seattle. We're an agile, fast-growing startup, and our leadership comes from some of the country's most respected tech companies. Our Senior Leadership team has been recognized by Forbes, Seattle Business, and Geekwire. For the past three years we have been nominated as one of Seattle's ""Best Places to Work"" by Seattle Business Magazine, and celebrated awards in 2016 and 2017 by Seattle Met magazine and the Puget Sound Business Journal. We're also the recipient of World’s Most Dog-Friendly Offices in 2016 by Inc.com. Needless to say (but we're going to say it anyway)—we love dogs, and we wouldn't dream of going to work without them by our sides.

Who we're looking for:

We are looking for people who understand that behind every data point there is a pet and a pet person. When you develop and deploy an algorithm, you are not just producing a score or rule set, you are altering the customer experience and impacting the business in measurable ways. You should be excited to tackle a broad array of problems and work in a fast-paced, collaborative startup environment.

What does Data Science mean at Rover?

At Rover we obsess over our customers’ needs, relying heavily on data to improve the customer journey, and to continuously optimize outcomes in our marketplaces. Our entire organization is metric driven and underpinned by data science. Data scientists are responsible for defining the right metrics, understanding nuanced marketplace dynamics, and developing models and algorithms that power our business and technology.
As a Data Scientist You Will:
Identify opportunities to operate the marketplace more efficiently, working closely with business, product, and engineering leaders
Build multivariate models to arrive at inferences or predict future behavior
Develop algorithms that match owners with providers or solve other customer needs
Design and analyze A/B user tests and marketplace experiments, often in partnership with product managers
Deploy machine learning models at scale, writing production code in collaboration with machine learning platform engineers
Your Toolset Includes:
SQL
Python or R
Google Analytics or similar user funnel analytics tools
Tableau, Looker, or similar data visualization tools
Data-informed decision making with rigorous split testing.
Integrated teams with developers, designers and analysts working side-by-side.
Your Qualifications:
B.S in a quantitative discipline required; advanced degree (MS or PhD) preferred
Strong analytical, technical and coding skills
Expertise in one or more core data science disciplines (e.g, supervised learning, machine learning, etc)
Marketplace experience preferred
Experience in online user testing preferred
2+ years of experience in a technical role
Why We’ll Hire You:
You are familiar with more than just the basics, and have more than cursory experience with at least sub-discipline in the broad field of data science. In other words, you know where the sharp edges are, and can lead decisions around what techniques are and are not appropriate to employ for particular classes of problem
You’re a deeply analytical thinker who is passionate about finding structure in data, and using data to drive real value to the end user (and thus the business).
You are passionate about our core business. You will instinctively dig into every aspect of what it means to be a dog sitter and a dog owner on the Rover platform.
You can take abstractly defined problems and work with (imperfect) data to drive decisions
You are a great partner to engineers and business owners alike
You can pitch your own ideas and shepherd them through to completion
You show a pattern of being self-started, self-taught and self-directed
You favor open communication with willingness to ask and answer questions
You are output- and outcome-oriented
You have excellent written and verbal communication skills
You play nicely with others (and dogs)
Benefits of Working at Rover.com:
Competitive compensation
401k
Stock options
4 weeks paid time off
Competitive benefits package, including medical, dental, and vision insurance
Commuter benefits
Bring your dog to work (and unlimited puppy time)
Doggy benefits, including $1,000 toward adopting your first dog
Stocked fridges, coffee, soda, and lots of treats (for humans and dogs)
Free catered lunches semi-monthly
Regular team activities, including happy hours, snow tubing, game nights, and more
50 free dog walks a year
This position is based at Rover HQ in Downtown Seattle.
Competitive salary & benefits depending on experience.
Candidates must be eligible to work in the US."
